#############
# CLUSTER 0 #
#############

attribute prevalence  = 106884 / 555819 = 0.192300
occurrence prevalence = 558503 / 626862 = 0.890950

                        attribute  frequency  prevalence
                  master of science in engineering          6    0.000010
                communication and public relations          5    0.000008
                                  communication/pr          5    0.000008
                         facultatea de informatica          5    0.000008
                             administratie publica          4    0.000006
                                                b1          4    0.000006
                bachelor of science in engineering          4    0.000006
                                              feaa          4    0.000006
                                         filologie          4    0.000006
                journalism & communication studies          4    0.000006
                    marketing and sales management          4    0.000006
                                               crp          3    0.000005
                              ba, public relations          2    0.000003
                             communications and pr          2    0.000003
              computers and information technology          2    0.000003
                     comunicare şi relaţii publice          2    0.000003
 electronica, telecomunicatii si tehnologia inf...          2    0.000003
                          facultatea de instalatii          2    0.000003
        faculty of automatic control and computers          2    0.000003
                            limbi moderne aplicate          2    0.000003
                               matematica - fizica          2    0.000003
                               matematică - fizică          2    0.000003
                                  ms in management          2    0.000003
                                           primara          2    0.000003
                                          producer          2    0.000003
         relatii internationale si studii europene          2    0.000003
                                   stiinte sociale          2    0.000003
                                     1-4 5-8 liceu          1    0.000002
          advanced network security masters degree          1    0.000002
                   advertising and sales promotion          1    0.000002
                            afaceri internationale          1    0.000002
                      animation as a learning tool          1    0.000002
                           anti behaviorism theory          1    0.000002
                    asistenta sociala - probatiune          1    0.000002
                         automatica si calcultoare          1    0.000002
                        b.sc. (system programming)          1    0.000002
               ba international economic relations          1    0.000002
                                       ba pedagogy          1    0.000002
                        bachelor -computer science          1    0.000002
      bachelor in international economic relations          1    0.000002


##############
# CLUSTER 24 #
##############

attribute prevalence  =     14 / 555819 = 0.000025
occurrence prevalence =    167 / 626862 = 0.000266

                                        attribute  frequency  prevalence
                                         painting        102    0.000163
                                        mate-info         14    0.000022
                                        jurnalism         13    0.000021
             international business and economics          9    0.000014
                                medicina generala          8    0.000013
 cibernetica, statistica si informatica economica          4    0.000006
                                               mf          4    0.000006
                                            drept          3    0.000005
                 relatii economice internationale          3    0.000005
                              communications & pr          2    0.000003
             tehnician operator tehnica de calcul          2    0.000003
                                 general sociolgy          1    0.000002
     matematica-informatica, intensiv informatica          1    0.000002
                             transportations - ar          1    0.000002


##############
# CLUSTER 47 #
##############

attribute prevalence  =      3 / 555819 = 0.000005
occurrence prevalence =    148 / 626862 = 0.000236

        attribute  frequency  prevalence
 sistem informasi        143    0.000228
              mdp          4    0.000006
        automotif          1    0.000002


##############
# CLUSTER 39 #
##############

attribute prevalence  =     15 / 555819 = 0.000027
occurrence prevalence =    117 / 626862 = 0.000187

                            attribute  frequency  prevalence
               aplikovaná informatika         62    0.000099
                    obchodní akademie         21    0.000034
                             ekonomie          7    0.000011
 elektrotechnika - počítačové systémy          5    0.000008
                   mezinárodní obchod          5    0.000008
   výpočetní a automatizační technika          5    0.000008
     aplikovaná informatika v dopravě          2    0.000003
                 chemická technologie          2    0.000003
                       sociálna práca          2    0.000003
                                  asř          1    0.000002
                   ekonomicko-správní          1    0.000002
   informační a znalostní inženýrství          1    0.000002
                   podnikání a služby          1    0.000002
               střední a malé podniky          1    0.000002
                          účtovníctvo          1    0.000002


#############
# CLUSTER 2 #
#############

attribute prevalence  =     30 / 555819 = 0.000054
occurrence prevalence =     37 / 626862 = 0.000059

                                         attribute  frequency  prevalence
                                   ethical hacking          4    0.000006
                             diplomado en finanzas          3    0.000005
              licenciado en ingeniería de sistemas          2    0.000003
                       programador de computadoras          2    0.000003
 (maestrante) maestria en auditoría y seguridad...          1    0.000002
         administración de base de datos oracle 8i          1    0.000002
 auditor interno de sistemas de gestión de segu...          1    0.000002
 auditoria física de  redes: "auditor en instal...          1    0.000002
                                       ccna, ccnp3          1    0.000002
                          ccnp-1. advanced routing          1    0.000002
 ccnp-2. remote access (certificado 642-821 bcr...          1    0.000002
 cisco certified network professional: ccnp-3. ...          1    0.000002
                 curso de cableado estructurado 3m          1    0.000002
 diplomado en  formulación y evaluación de proy...          1    0.000002
                   diplomado en seguridad de redes          1    0.000002
             especialista en auditoria informatica          1    0.000002
              lenguaje de modelado unificado (uml)          1    0.000002
 o administración del sistema operativo unix y ...          1    0.000002
 o certificación  cisco ccna certified network ...          1    0.000002
 o certificación ibm: “diseño y administración ...          1    0.000002
 o entrenamiento intensivo de seguridad de la i...          1    0.000002
 o ethical hacking & pentration test (enfoque m...          1    0.000002
 o itil foundations service management (buenas ...          1    0.000002
 o nuevas tecnologías de transporte de informac...          1    0.000002
